,layer,head,aa,attn_occur_norm
2123,5,6,E,0.66554224
2128,5,6,K,0.69878954
2134,5,6,R,0.8314912
2142,5,7,D,0.54224205
2143,5,7,E,0.5908155
2148,5,7,K,0.60844254
2154,5,7,R,0.5538697
2162,5,8,D,1.0921602
2163,5,8,E,0.9611381
2168,5,8,K,0.897555
2174,5,8,R,0.88639146
2182,5,9,D,1.0698631
2183,5,9,E,0.8331861
2188,5,9,K,0.87065554
2194,5,9,R,0.8603137
2202,5,10,D,0.7406378
2203,5,10,E,0.7014008
2208,5,10,K,0.6283768
2214,5,10,R,0.6348426
2222,5,11,D,0.7203541
2223,5,11,E,0.7811759
2228,5,11,K,0.9290721
2234,5,11,R,1.2294576
2242,5,12,D,1.645493
2243,5,12,E,1.4424965
2248,5,12,K,0.9107976
2254,5,12,R,0.9886505
2262,5,13,D,0.58434457
2263,5,13,E,0.5151902
2268,5,13,K,0.5440665
2274,5,13,R,0.54855645
2282,5,14,D,0.5710126
2283,5,14,E,0.529911
2288,5,14,K,0.52759314
2294,5,14,R,0.60903305
2302,5,15,D,0.88426745
2303,5,15,E,1.2331727
2308,5,15,K,2.2799518
2314,5,15,R,1.2767681
2322,5,16,D,0.7005306
2323,5,16,E,0.7126068
2328,5,16,K,0.7307479
2334,5,16,R,0.7827186
2342,5,17,D,0.82810444
2343,5,17,E,0.73335844
2348,5,17,K,1.0825214
2354,5,17,R,1.092664
2362,5,18,D,0.3378761
2363,5,18,E,0.7122636
2368,5,18,K,1.2447001
2374,5,18,R,2.0669107
2382,5,19,D,0.85165304
2383,5,19,E,0.89645326
2388,5,19,K,1.0499227
2394,5,19,R,0.9374202
2402,6,0,D,1.1724014
2403,6,0,E,1.432843
2408,6,0,K,1.0640974
2414,6,0,R,0.6466328
2422,6,1,D,1.3377492
2423,6,1,E,0.80722183
2428,6,1,K,0.7969254
2434,6,1,R,0.83706903
2442,6,2,D,0.81974614
2443,6,2,E,0.89550334
2448,6,2,K,0.9208229
2454,6,2,R,0.9074957
2462,6,3,D,1.2712872
2463,6,3,E,1.1374846
2468,6,3,K,1.1947527
2474,6,3,R,1.346554
2482,6,4,D,0.95092046
2483,6,4,E,0.9972366
2488,6,4,K,0.95697314
2494,6,4,R,0.9594375
2502,6,5,D,1.0394207
2503,6,5,E,1.2351949
2508,6,5,K,0.81885755
2514,6,5,R,0.6899645
2522,6,6,D,0.85508436
2523,6,6,E,0.6839555
2528,6,6,K,0.7029461
2534,6,6,R,0.7790972
2542,6,7,D,0.94262785
2543,6,7,E,0.8654037
2548,6,7,K,0.7333738
2554,6,7,R,0.643301
2562,6,8,D,1.1288737
2563,6,8,E,1.1200709
2568,6,8,K,0.7598411
2574,6,8,R,0.92722887
2582,6,9,D,0.889298
2583,6,9,E,0.83659095
2588,6,9,K,1.4540446
2594,6,9,R,0.59762675
2602,6,10,D,1.3342314
2603,6,10,E,0.65564805
2608,6,10,K,0.61425126
2614,6,10,R,0.5210774
2622,6,11,D,0.8284491
2623,6,11,E,0.61048335
2628,6,11,K,0.61259973
2634,6,11,R,0.59459037
2642,6,12,D,0.73107475
2643,6,12,E,0.7650867
2648,6,12,K,0.72513056
2654,6,12,R,0.7939077
2662,6,13,D,0.52025163
2663,6,13,E,0.61796355
2668,6,13,K,0.53176147
2674,6,13,R,0.57227415
2682,6,14,D,0.90901405
2683,6,14,E,0.7405611
2688,6,14,K,0.84207594
2694,6,14,R,0.8566534
2702,6,15,D,0.6473103
2703,6,15,E,0.6857992
2708,6,15,K,0.74508816
2714,6,15,R,0.7761583
2722,6,16,D,0.63025147
2723,6,16,E,0.62894666
2728,6,16,K,0.86862177
2734,6,16,R,1.0176641
2742,6,17,D,0.83272517
2743,6,17,E,0.74779403
2748,6,17,K,0.79283655
2754,6,17,R,0.93211627
2762,6,18,D,0.8760735
2763,6,18,E,0.796478
2768,6,18,K,0.8374059
2774,6,18,R,0.86016834
2782,6,19,D,0.57488704
2783,6,19,E,0.407487
2788,6,19,K,0.67448485
2794,6,19,R,0.5401992
2802,7,0,D,0.8324731
2803,7,0,E,0.9074255
2808,7,0,K,1.0215858
2814,7,0,R,1.0691907
2822,7,1,D,0.8817189
2823,7,1,E,0.881444
2828,7,1,K,0.9025345
2834,7,1,R,0.95474297
2842,7,2,D,0.6093947
2843,7,2,E,0.5900764
2848,7,2,K,0.89599055
2854,7,2,R,0.7450766
2862,7,3,D,1.2448348
2863,7,3,E,1.3337154
2868,7,3,K,1.1362938
2874,7,3,R,1.15729
2882,7,4,D,0.5348999
2883,7,4,E,0.5862004
2888,7,4,K,1.4459765
2894,7,4,R,2.176064
2902,7,5,D,0.79607236
2903,7,5,E,0.7547879
2908,7,5,K,0.92692065
2914,7,5,R,0.95528233
2922,7,6,D,0.6718949
2923,7,6,E,0.7980481
2928,7,6,K,1.2771132
2934,7,6,R,2.4382806
2942,7,7,D,0.5798623
2943,7,7,E,0.5564393
2948,7,7,K,0.595633
2954,7,7,R,0.73454213
2962,7,8,D,0.79189414
2963,7,8,E,0.7357098
2968,7,8,K,0.7448676
2974,7,8,R,0.85172766
2982,7,9,D,0.8786568
2983,7,9,E,0.885212
2988,7,9,K,0.941202
2994,7,9,R,0.9499695
3002,7,10,D,0.5074495
3003,7,10,E,0.6000296
3008,7,10,K,1.0698328
3014,7,10,R,1.198147
3022,7,11,D,0.96916336
3023,7,11,E,0.8738575
3028,7,11,K,0.9682703
3034,7,11,R,0.9502504
3042,7,12,D,1.1830148
3043,7,12,E,1.7687445
3048,7,12,K,0.8835922
3054,7,12,R,0.9084736
3062,7,13,D,0.80354434
3063,7,13,E,0.6985554
3068,7,13,K,0.8089166
3074,7,13,R,0.81417334
3082,7,14,D,0.7890626
3083,7,14,E,1.1808897
3088,7,14,K,0.98140895
3094,7,14,R,0.8207489
3102,7,15,D,1.050334
3103,7,15,E,0.9227054
3108,7,15,K,0.9666243
3114,7,15,R,0.9419484
3122,7,16,D,0.81794876
3123,7,16,E,0.80533683
